date,acquisition_channel,spend_amount,impressions,clicks,country
2023-01-05,paid_social,2074.47,3092998,114711,USA
2023-01-05,paid_social,2406.01,2855232,81770,UK
2023-01-05,paid_social,597.23,681988,6891,Canada
2023-01-05,organic,58.39,47970,505,USA
2023-01-05,organic,58.79,74418,2911,UK
2023-01-05,organic,96.2,66913,1896,Canada
2023-01-05,email,79.72,87232,1059,USA
2023-01-05,email,171.82,142565,1616,UK
2023-01-05,email,223.72,331543,3802,Canada
2023-01-05,referral,61.83,79944,2601,USA
2023-01-05,referral,110.2,128126,1759,UK
2023-01-05,referral,168.55,158032,4141,Canada
2023-01-05,social_media,1053.08,1192423,29318,USA
2023-01-05,social_media,533.67,464141,19703,UK
2023-01-05,social_media,757.32,757109,22328,Canada
2023-01-06,paid_search,1847.33,1680964,83117,USA
2023-01-06,paid_search,1941.4,2318576,99681,UK
2023-01-06,paid_search,1500.77,2085758,67812,Canada
2023-01-06,paid_social,1839.87,962921,13642,USA
2023-01-06,paid_social,477.97,696013,25841,UK
2023-01-06,paid_social,517.22,484337,14057,Canada
2023-01-06,organic,18.23,22876,977,USA
2023-01-06,organic,83.91,107673,3701,UK
2023-01-06,organic,22.43,12159,148,Canada
2023-01-06,email,213.09,203294,2473,USA
2023-01-06,email,185.37,257787,12203,UK
2023-01-06,email,215.06,113076,1488,Canada
2023-01-06,referral,58.23,53518,1612,USA
2023-01-06,referral,168.93,201467,2171,UK
2023-01-06,referral,125.53,188210,3213,Canada
2023-01-06,social_media,1377.98,1048465,29001,USA
2023-01-06,social_media,1208.07,667890,18272,UK
2023-01-06,social_media,909.48,595766,18408,Canada
2023-01-07,paid_search,2488.91,3005218,120916,USA
2023-01-07,paid_search,1142.89,1647482,18667,UK
2023-01-07,paid_search,1467.98,2148675,55987,Canada
2023-01-07,paid_social,1391.1,1506051,26561,USA
2023-01-07,paid_social,765.82,1135696,41895,UK
2023-01-07,paid_social,2160.76,2282555,46718,Canada
2023-01-07,organic,93.1,113947,2964,USA
2023-01-07,organic,17.06,9465,407,UK
2023-01-07,organic,42.46,37335,1417,Canada
2023-01-07,email,63.43,90474,2969,USA
2023-01-07,email,76.53,93865,983,UK
2023-01-07,email,168.39,122864,4583,Canada
2023-01-07,referral,180.24,253141,10536,USA
2023-01-07,referral,172.02,125586,4265,UK
2023-01-07,referral,50.88,43072,1091,Canada
2023-01-07,social_media,565.66,511618,7428,USA
2023-01-07,social_media,1306.02,774359,35560,UK
2023-01-07,social_media,777.38,718103,28769,Canada
2023-01-08,paid_search,2353.9,3296659,134124,USA
2023-01-08,paid_search,512.0,562540,6670,UK
2023-01-08,paid_search,1407.93,1566004,47951,Canada
2023-01-08,paid_social,2120.92,1814414,36686,USA
2023-01-08,paid_social,1586.37,1179444,18652,UK
2023-01-08,paid_social,1641.44,1971590,49048,Canada
2023-01-08,organic,53.42,56299,2804,USA
2023-01-08,organic,16.59,16591,305,UK
2023-01-08,organic,69.44,35297,1425,Canada
2023-01-08,email,116.17,115628,5468,USA
2023-01-08,email,256.56,355174,10431,UK
2023-01-08,email,85.23,66642,3256,Canada
2023-01-08,referral,0.98,732,20,USA
2023-01-08,referral,197.33,114570,3115,UK
2023-01-08,referral,68.83,91693,1580,Canada
2023-01-08,social_media,1004.26,1094322,34657,USA
2023-01-08,social_media,787.49,625984,7994,UK
2023-01-08,social_media,955.62,1139023,21096,Canada
2023-01-09,paid_search,2986.8,2487620,123490,USA
2023-01-09,paid_search,2969.68,1939768,41029,UK
2023-01-09,paid_search,2943.63,2500533,36890,Canada
2023-01-09,paid_social,2460.5,3497836,156396,USA
2023-01-09,paid_social,2377.98,1260938,28551,UK
2023-01-09,paid_social,1195.41,894257,16568,Canada
2023-01-09,organic,80.84,45869,1218,USA
2023-01-09,organic,45.66,59348,843,UK
2023-01-09,organic,69.85,69030,2784,Canada
2023-01-09,email,224.24,226629,6922,USA
2023-01-09,email,258.35,171866,7593,UK
2023-01-09,email,284.54,296005,8084,Canada
2023-01-09,referral,78.02,86268,3489,USA
2023-01-09,referral,106.52,147362,3409,UK
2023-01-09,referral,162.9,222692,6326,Canada
2023-01-09,social_media,470.38,438672,11083,USA
2023-01-09,social_media,908.68,578087,27626,UK
2023-01-09,social_media,692.33,366284,7226,Canada
2023-01-10,paid_search,515.73,299120,11885,USA
2023-01-10,paid_search,1516.75,2078077,83683,UK
2023-01-10,paid_search,2889.89,3324454,147443,Canada
2023-01-10,paid_social,1351.12,1134477,27520,USA
2023-01-10,paid_social,858.48,1137412,19118,UK
2023-01-10,paid_social,2341.38,1766743,71609,Canada
2023-01-10,organic,33.78,40548,767,USA
2023-01-10,organic,91.55,83820,4093,UK
2023-01-10,organic,35.97,32363,1158,Canada
2023-01-10,email,268.44,392971,8307,USA
2023-01-10,email,157.81,191214,6681,UK
2023-01-10,email,200.57,238572,2662,Canada
2023-01-10,referral,52.35,70164,2603,USA
2023-01-10,referral,4.81,3958,48,UK
2023-01-10,referral,115.18,71103,2762,Canada
2023-01-10,social_media,662.61,695557,8439,USA
2023-01-10,social_media,1430.64,1238898,23214,UK
2023-01-10,social_media,1026.65,975165,16215,Canada
2023-01-11,paid_search,2417.37,2098496,79477,USA
2023-01-11,paid_search,1953.42,1701142,42041,UK
2023-01-11,paid_search,2727.58,3086369,85567,Canada
2023-01-11,paid_social,1165.55,1310387,62482,USA
2023-01-11,paid_social,675.06,973709,44565,UK
2023-01-11,paid_social,1755.0,1046472,13273,Canada
2023-01-11,organic,29.94,24540,304,USA
2023-01-11,organic,66.48,50662,916,UK
2023-01-11,organic,14.15,16742,329,Canada
2023-01-11,email,298.0,368561,6234,USA
2023-01-11,email,211.0,158358,2698,UK
2023-01-11,email,140.42,137358,3115,Canada
2023-01-11,referral,121.56,77348,3591,USA
2023-01-11,referral,110.74,161105,6648,UK
2023-01-11,referral,52.4,45425,579,Canada
2023-01-11,social_media,755.77,692293,12063,USA
2023-01-11,social_media,415.05,243348,9206,UK
2023-01-11,social_media,596.91,318970,11075,Canada
2023-01-12,paid_search,2876.97,2624281,111224,USA
2023-01-12,paid_search,894.46,585048,21546,UK
2023-01-12,paid_search,980.48,638885,25820,Canada
2023-01-12,paid_social,1714.67,2050355,26179,USA
2023-01-12,paid_social,423.82,260713,7885,UK
2023-01-12,paid_social,1010.18,1294769,14135,Canada
2023-01-12,organic,95.27,94611,1915,USA
2023-01-12,organic,34.49,41503,1009,UK
2023-01-12,organic,22.61,20221,877,Canada
2023-01-12,email,69.21,86121,3510,USA
2023-01-12,email,294.14,370525,12202,UK
2023-01-12,email,149.73,163775,3478,Canada
2023-01-12,referral,120.92,77016,3129,USA
2023-01-12,referral,136.24,69332,766,UK
2023-01-12,referral,84.17,60282,1122,Canada
2023-01-12,social_media,570.91,682719,25765,USA
2023-01-12,social_media,1151.87,1544346,45891,UK
2023-01-12,social_media,1091.67,1146700,26955,Canada
2023-01-13,paid_search,1185.87,1725221,71198,USA
2023-01-13,paid_search,2909.64,3033768,140630,UK
2023-01-13,paid_search,1869.51,1384410,14785,Canada
2023-01-13,paid_social,894.31,1162212,35668,USA
2023-01-13,paid_social,2381.83,1282832,24526,UK
2023-01-13,paid_social,1124.94,965592,21316,Canada
2023-01-13,organic,77.63,81049,3101,USA
2023-01-13,organic,89.16,71944,3359,UK
2023-01-13,organic,7.61,3973,92,Canada
2023-01-13,email,137.66,137766,2737,USA
2023-01-13,email,244.71,232982,11543,UK
2023-01-13,email,219.16,326960,14354,Canada
2023-01-13,referral,198.5,117654,5672,USA
2023-01-13,referral,44.11,57336,1654,UK
2023-01-13,referral,193.18,265098,4852,Canada
2023-01-13,social_media,955.21,1277815,45029,USA
2023-01-13,social_media,945.66,857134,40070,UK
2023-01-13,social_media,537.51,747993,30627,Canada
2023-01-14,paid_search,548.15,800961,34055,USA
2023-01-14,paid_search,584.82,629501,28359,UK
2023-01-14,paid_search,810.28,751734,17419,Canada
2023-01-14,paid_social,577.54,493062,13512,USA
2023-01-14,paid_social,753.97,1047259,47668,UK
2023-01-14,paid_social,540.36,693366,26267,Canada
2023-01-14,organic,31.3,22784,375,USA
2023-01-14,organic,60.6,33098,450,UK
2023-01-14,organic,94.59,109356,3055,Canada
2023-01-14,email,264.11,380294,8392,USA
2023-01-14,email,93.43,129825,2571,UK
2023-01-14,email,271.75,193830,3248,Canada
2023-01-14,referral,98.39,61463,1126,USA
2023-01-14,referral,91.27,54383,723,UK
2023-01-14,referral,167.16,244075,11811,Canada
2023-01-14,social_media,202.64,248785,3690,USA
2023-01-14,social_media,1126.33,655215,9253,UK
2023-01-14,social_media,594.46,732050,16162,Canada
2023-01-15,paid_search,2795.78,3219437,75525,USA
2023-01-15,paid_search,2276.12,3047229,119208,UK
2023-01-15,paid_search,1646.23,1107224,52323,Canada
2023-01-15,paid_social,1977.03,2481077,65121,USA
2023-01-15,paid_social,1629.67,1696718,41439,UK
2023-01-15,paid_social,826.86,465668,10383,Canada
2023-01-15,organic,13.36,9203,457,USA
2023-01-15,organic,74.93,55895,1721,UK
2023-01-15,organic,75.18,94084,4475,Canada
2023-01-15,email,248.62,345408,10567,USA
2023-01-15,email,223.81,232947,10391,UK
2023-01-15,email,64.82,88380,3754,Canada
2023-01-15,referral,135.4,148680,2439,USA
2023-01-15,referral,70.0,91452,1623,UK
2023-01-15,referral,194.99,290865,5535,Canada
2023-01-15,social_media,423.38,603911,29046,USA
2023-01-15,social_media,799.88,1020067,20724,UK
2023-01-15,social_media,390.63,253317,7244,Canada
2023-01-16,paid_search,2361.58,2538121,125225,USA
2023-01-16,paid_search,654.62,594522,28078,UK
2023-01-16,paid_search,985.31,842393,21910,Canada
2023-01-16,paid_social,2018.63,1451629,53662,USA
2023-01-16,paid_social,1976.92,2618533,102997,UK
2023-01-16,paid_social,511.73,734642,8346,Canada
2023-01-16,organic,19.75,22362,704,USA
2023-01-16,organic,28.09,24158,712,UK
2023-01-16,organic,26.94,32620,1143,Canada
2023-01-16,email,287.37,148444,7287,USA
2023-01-16,email,139.14,89617,2214,UK
2023-01-16,email,205.18,168905,6508,Canada
2023-01-16,referral,120.51,103959,1888,USA
2023-01-16,referral,160.56,177134,6118,UK
2023-01-16,referral,43.54,51960,567,Canada
2023-01-16,social_media,1453.14,1885983,77655,USA
2023-01-16,social_media,1340.04,1656880,51297,UK
2023-01-16,social_media,842.48,818074,36676,Canada
2023-01-17,paid_search,2572.1,2869532,130916,USA
2023-01-17,paid_search,502.42,303041,7302,UK
2023-01-17,paid_search,2398.43,1745702,59613,Canada
2023-01-17,paid_social,2325.6,2893276,76933,USA
2023-01-17,paid_social,1791.3,951738,15213,UK
2023-01-17,paid_social,432.97,507216,9565,Canada
2023-01-17,organic,73.58,97628,1640,USA
2023-01-17,organic,50.5,46767,1199,UK
2023-01-17,organic,3.34,4074,159,Canada
2023-01-17,email,88.56,83890,3418,USA
2023-01-17,email,167.26,240761,3287,UK
2023-01-17,email,204.09,121786,3238,Canada
2023-01-17,referral,189.92,149194,5975,USA
2023-01-17,referral,167.08,166037,3077,UK
2023-01-17,referral,11.39,15853,609,Canada
2023-01-17,social_media,1393.91,819445,14467,USA
2023-01-17,social_media,1399.07,1454677,28301,UK
2023-01-17,social_media,860.54,962918,29017,Canada
2023-01-18,paid_search,1487.68,1624089,59965,USA
2023-01-18,paid_search,1201.05,1651282,40180,UK
2023-01-18,paid_search,1820.97,1618616,69441,Canada
2023-01-18,paid_social,533.35,598364,15120,USA
2023-01-18,paid_social,1029.28,987651,38899,UK
2023-01-18,paid_social,1779.85,1491566,73684,Canada
2023-01-18,organic,68.06,61851,1862,USA
2023-01-18,organic,56.3,35053,1081,UK
2023-01-18,organic,13.1,6566,279,Canada
2023-01-18,email,265.65,359845,6376,USA
2023-01-18,email,57.79,49342,1412,UK
2023-01-18,email,63.7,37622,820,Canada
2023-01-18,referral,156.88,216037,5064,USA
2023-01-18,referral,166.66,172035,2281,UK
2023-01-18,referral,2.29,3315,112,Canada
2023-01-18,social_media,1130.0,1447997,68679,USA
2023-01-18,social_media,399.81,436189,7982,UK
2023-01-18,social_media,254.72,349357,15505,Canada
2023-01-19,paid_search,2520.92,1444592,68122,USA
2023-01-19,paid_search,1740.07,1546330,22033,UK
2023-01-19,paid_search,2226.26,2717851,97806,Canada
2023-01-19,paid_social,2488.82,2464894,33848,USA
2023-01-19,paid_social,1564.17,1825738,27879,UK
2023-01-19,paid_social,1754.65,1220652,21098,Canada
2023-01-19,organic,50.8,47202,756,USA
2023-01-19,organic,66.27,79597,3968,UK
2023-01-19,organic,88.15,79737,2543,Canada
2023-01-19,email,72.26,51821,1393,USA
2023-01-19,email,75.8,38910,786,UK
2023-01-19,email,185.28,260695,5283,Canada
2023-01-19,referral,65.14,89585,1002,USA
2023-01-19,referral,165.73,88621,3820,UK
2023-01-19,referral,111.5,126851,5908,Canada
2023-01-19,social_media,301.63,193970,6739,USA
2023-01-19,social_media,1380.01,937222,41161,UK
2023-01-19,social_media,311.25,342552,8158,Canada
2023-01-20,paid_search,612.24,551538,15871,USA
2023-01-20,paid_search,1233.73,1582034,59255,UK
2023-01-20,paid_search,823.69,1045038,33029,Canada
2023-01-20,paid_social,2012.79,2769859,93565,USA
2023-01-20,paid_social,2050.81,1348205,40318,UK
2023-01-20,paid_social,1836.01,2665602,48650,Canada
2023-01-20,organic,14.8,19651,503,USA
2023-01-20,organic,74.51,102717,2886,UK
2023-01-20,organic,5.66,6973,133,Canada
2023-01-20,email,178.76,148261,7179,USA
2023-01-20,email,87.36,44259,593,UK
2023-01-20,email,114.54,148080,3122,Canada
2023-01-20,referral,180.67,178046,3364,USA
2023-01-20,referral,93.12,101662,3228,UK
2023-01-20,referral,22.95,14854,203,Canada
2023-01-20,social_media,852.92,983539,47607,USA
2023-01-20,social_media,646.94,623109,25481,UK
2023-01-20,social_media,787.16,615748,29412,Canada
2023-01-21,paid_search,1367.07,879991,35163,USA
2023-01-21,paid_search,2980.35,2449638,56531,UK
2023-01-21,paid_search,669.02,365326,7299,Canada
2023-01-21,paid_social,883.84,1314280,36346,USA
2023-01-21,paid_social,1197.35,1191535,27212,UK
2023-01-21,paid_social,1451.16,1026851,38363,Canada
2023-01-21,organic,39.0,48752,753,USA
2023-01-21,organic,3.45,2611,125,UK
2023-01-21,organic,12.18,10419,350,Canada
2023-01-21,email,226.96,161943,5474,USA
2023-01-21,email,220.88,164122,3457,UK
2023-01-21,email,260.5,325626,12976,Canada
2023-01-21,referral,99.27,103512,2508,USA
2023-01-21,referral,101.32,98904,2585,UK
2023-01-21,referral,73.27,73207,1479,Canada
2023-01-21,social_media,958.38,522351,24442,USA
2023-01-21,social_media,923.77,1320417,36389,UK
2023-01-21,social_media,1159.15,1626435,30469,Canada
2023-01-22,paid_search,1490.86,772263,20161,USA
2023-01-22,paid_search,1527.83,1340862,51867,UK
2023-01-22,paid_search,905.14,1036402,15631,Canada
2023-01-22,paid_social,2348.66,2303474,95837,USA
2023-01-22,paid_social,680.69,347896,7644,UK
2023-01-22,paid_social,1752.08,2453146,63868,Canada
2023-01-22,organic,27.32,20554,957,USA
2023-01-22,organic,81.14,49695,1532,UK
2023-01-22,organic,43.3,22909,585,Canada
2023-01-22,email,239.29,293330,5579,USA
2023-01-22,email,70.79,60144,1470,UK
2023-01-22,email,143.07,160619,4816,Canada
2023-01-22,referral,38.68,32354,966,USA
2023-01-22,referral,73.22,94330,2547,UK
2023-01-22,referral,119.12,85773,3650,Canada
2023-01-22,social_media,1222.61,1656594,29287,USA
2023-01-22,social_media,1325.65,706780,9188,UK
2023-01-22,social_media,438.46,306400,14974,Canada
2023-01-23,paid_search,1748.48,2384938,73892,USA
2023-01-23,paid_search,1484.45,1787330,19199,UK
2023-01-23,paid_search,2598.11,2549285,79569,Canada
2023-01-23,paid_social,1200.98,1143441,56157,USA
2023-01-23,paid_social,1228.25,989420,36593,UK
2023-01-23,paid_social,1468.73,2072629,72164,Canada
2023-01-23,organic,75.29,52361,2132,USA
2023-01-23,organic,11.56,16936,627,UK
2023-01-23,organic,73.02,67471,1593,Canada
2023-01-23,email,221.67,316521,9796,USA
2023-01-23,email,175.24,233061,10911,UK
2023-01-23,email,278.95,215221,6423,Canada
2023-01-23,referral,131.57,166464,3999,USA
2023-01-23,referral,88.89,78668,1602,UK
2023-01-23,referral,70.72,87570,1839,Canada
2023-01-23,social_media,529.14,674469,13255,USA
2023-01-23,social_media,1172.45,1302757,29432,UK
2023-01-23,social_media,1259.16,981713,43858,Canada
2023-01-24,paid_search,581.35,600928,28241,USA
2023-01-24,paid_search,1950.86,2419715,28349,UK
2023-01-24,paid_search,2797.01,3847213,51916,Canada
2023-01-24,paid_social,2247.81,1830225,21661,USA
2023-01-24,paid_social,696.42,648980,11735,UK
2023-01-24,paid_social,1228.59,1786267,46021,Canada
2023-01-24,organic,21.84,28877,947,USA
2023-01-24,organic,59.46,46597,1986,UK
2023-01-24,organic,17.9,10922,490,Canada
2023-01-24,email,115.59,131061,2370,USA
2023-01-24,email,156.78,128784,5729,UK
2023-01-24,email,197.51,258454,6140,Canada
2023-01-24,referral,152.11,137429,4276,USA
2023-01-24,referral,169.23,199725,2953,UK
2023-01-24,referral,18.97,11567,202,Canada
2023-01-24,social_media,1073.82,1288458,62672,USA
2023-01-24,social_media,1391.67,1398662,68770,UK
2023-01-24,social_media,1033.53,639864,7165,Canada
2023-01-25,paid_search,1568.29,1796456,49680,USA
2023-01-25,paid_search,2326.88,1980801,36689,UK
2023-01-25,paid_search,2824.24,3163688,92279,Canada
2023-01-25,paid_social,1690.11,1258892,45985,USA
2023-01-25,paid_social,2470.66,2039831,71326,UK
2023-01-25,paid_social,2391.15,3350001,167033,Canada
2023-01-25,organic,99.58,86808,885,USA
2023-01-25,organic,42.33,27893,1208,UK
2023-01-25,organic,60.71,43647,2111,Canada
2023-01-25,email,262.42,132054,2613,USA
2023-01-25,email,138.3,180386,6729,UK
2023-01-25,email,266.6,158205,7760,Canada
2023-01-25,referral,189.47,102120,5092,USA
2023-01-25,referral,60.19,77149,871,UK
2023-01-25,referral,106.14,76156,2334,Canada
2023-01-25,social_media,883.07,1102485,22971,USA
2023-01-25,social_media,1315.43,1362501,40113,UK
2023-01-25,social_media,1307.54,1421141,63557,Canada
2023-01-26,paid_search,746.17,766963,23804,USA
2023-01-26,paid_search,2309.54,2483188,97135,UK
2023-01-26,paid_search,2630.98,3091946,72794,Canada
2023-01-26,paid_social,2000.63,2691461,106269,USA
2023-01-26,paid_social,686.08,571117,15845,UK
2023-01-26,paid_social,1650.89,2367633,58553,Canada
2023-01-26,organic,85.88,81297,3336,USA
2023-01-26,organic,45.2,62099,1539,UK
2023-01-26,organic,21.68,28449,567,Canada
2023-01-26,email,65.53,56630,2793,USA
2023-01-26,email,154.01,207213,2946,UK
2023-01-26,email,247.02,161560,3968,Canada
2023-01-26,referral,86.19,106378,1152,USA
2023-01-26,referral,98.16,88079,1576,UK
2023-01-26,referral,125.52,125072,5897,Canada
2023-01-26,social_media,1227.4,1047208,36547,USA
2023-01-26,social_media,751.15,794899,38786,UK
2023-01-26,social_media,1318.84,1206227,36619,Canada
2023-01-27,paid_search,1901.23,1124877,33869,USA
2023-01-27,paid_search,2397.83,2329609,53213,UK
2023-01-27,paid_search,896.69,1243858,51169,Canada
2023-01-27,paid_social,2427.61,3533785,160201,USA
2023-01-27,paid_social,1547.28,1996076,64023,UK
2023-01-27,paid_social,594.95,326322,11239,Canada
2023-01-27,organic,23.74,25815,449,USA
2023-01-27,organic,23.62,27278,1311,UK
2023-01-27,organic,52.82,66167,1752,Canada
2023-01-27,email,118.24,60054,1159,USA
2023-01-27,email,235.71,183404,7174,UK
2023-01-27,email,165.78,209709,8485,Canada
2023-01-27,referral,130.24,154086,4928,USA
2023-01-27,referral,62.22,72408,1610,UK
2023-01-27,referral,113.81,85280,3617,Canada
2023-01-27,social_media,213.31,139205,3501,USA
2023-01-27,social_media,548.75,798513,20397,UK
2023-01-27,social_media,1482.26,1010992,15735,Canada
2023-01-28,paid_search,2453.76,1880290,60935,USA
2023-01-28,paid_search,843.43,649307,31978,UK
2023-01-28,paid_search,2188.72,2234303,51548,Canada
2023-01-28,paid_social,508.06,718073,16531,USA
2023-01-28,paid_social,1791.44,2330917,70152,UK
2023-01-28,paid_social,404.47,362242,14469,Canada
2023-01-28,organic,25.54,18495,530,USA
2023-01-28,organic,96.21,65189,812,UK
2023-01-28,organic,51.01,44310,532,Canada
2023-01-28,email,292.75,152728,3606,USA
2023-01-28,email,269.78,158520,3253,UK
2023-01-28,email,190.66,176039,6761,Canada
2023-01-28,referral,9.52,6732,214,USA
2023-01-28,referral,123.12,162946,1911,UK
2023-01-28,referral,91.83,117405,5486,Canada
2023-01-28,social_media,372.52,193317,3326,USA
2023-01-28,social_media,1374.64,1379863,24492,UK
2023-01-28,social_media,1135.41,707931,8216,Canada
2023-01-29,paid_search,692.03,752703,16183,USA
2023-01-29,paid_search,2508.94,1643349,35063,UK
2023-01-29,paid_search,706.71,601685,26615,Canada
2023-01-29,paid_social,822.62,755592,11954,USA
2023-01-29,paid_social,1096.69,813693,28611,UK
2023-01-29,paid_social,520.63,445787,17801,Canada
2023-01-29,organic,43.66,42016,547,USA
2023-01-29,organic,69.78,76676,3251,UK
2023-01-29,organic,79.57,58193,2047,Canada
2023-01-29,email,225.22,206887,5983,USA
2023-01-29,email,86.32,45928,957,UK
2023-01-29,email,246.03,304884,10043,Canada
2023-01-29,referral,181.18,145810,4400,USA
2023-01-29,referral,78.27,58531,2880,UK
2023-01-29,referral,73.66,71115,3187,Canada
2023-01-29,social_media,542.61,515933,14424,USA
2023-01-29,social_media,550.42,309054,13214,UK
2023-01-29,social_media,1246.49,1698477,79517,Canada
2023-01-30,paid_search,2068.97,1822105,26124,USA
2023-01-30,paid_search,1446.48,2123248,86987,UK
2023-01-30,paid_search,1097.45,1454458,19429,Canada
2023-01-30,paid_social,2015.06,3012566,75409,USA
2023-01-30,paid_social,458.65,390029,15092,UK
2023-01-30,paid_social,2348.96,1650454,72021,Canada
2023-01-30,organic,85.25,64871,1115,USA
2023-01-30,organic,64.8,61570,2046,UK
2023-01-30,organic,76.01,97873,4185,Canada
2023-01-30,email,266.28,294602,14014,USA
2023-01-30,email,67.0,88076,1117,UK
2023-01-30,email,83.98,86279,2052,Canada
2023-01-30,referral,164.66,211570,2831,USA
2023-01-30,referral,176.19,187319,5071,UK
2023-01-30,referral,5.63,3953,89,Canada
2023-01-30,social_media,1262.67,819847,19810,USA
2023-01-30,social_media,1405.69,1875061,88784,UK
2023-01-30,social_media,657.22,360621,8754,Canada
2023-01-31,paid_search,1561.04,1347343,19975,USA
2023-01-31,paid_search,826.79,826067,28324,UK
2023-01-31,paid_search,1434.54,1157523,36440,Canada
2023-01-31,paid_social,1669.26,894884,11821,USA
2023-01-31,paid_social,1863.76,2441257,35343,UK
2023-01-31,paid_social,1282.48,914263,11933,Canada
2023-01-31,organic,21.67,28124,1095,USA
2023-01-31,organic,32.94,20941,775,UK
2023-01-31,organic,25.36,22905,1011,Canada
2023-01-31,email,163.01,102294,3392,USA
2023-01-31,email,133.91,142970,3013,UK
2023-01-31,email,239.51,350986,13235,Canada
2023-01-31,referral,60.13,37613,829,USA
2023-01-31,referral,139.13,115537,2780,UK
2023-01-31,referral,123.78,152629,2674,Canada
2023-01-31,social_media,1346.68,1018873,18318,USA
2023-01-31,social_media,1248.56,1294890,29757,UK
2023-01-31,social_media,554.36,721702,8961,Canada
2023-02-01,paid_search,2292.13,2572305,61612,USA
2023-02-01,paid_search,2603.73,2616566,117985,UK
2023-02-01,paid_search,2037.38,2745415,96381,Canada
2023-02-01,paid_social,1341.43,1521397,21344,USA
2023-02-01,paid_social,1448.92,858497,42158,UK
2023-02-01,paid_social,2167.28,1808211,41468,Canada
2023-02-01,organic,91.2,68460,1750,USA
2023-02-01,organic,66.36,38711,1075,UK
2023-02-01,organic,38.49,54883,2377,Canada
2023-02-01,email,62.66,89374,2772,USA
2023-02-01,email,243.45,154216,3144,UK
