user_id,signup_date,first_purchase_date,country,city,acquisition_channel,device_type,age_group,gender,customer_status
1032,2023-05-01,,Canada,Halifax,social_media,mobile,18-24,M,churned
1033,2023-05-05,2023-05-08,USA,Indianapolis,paid_social,desktop,25-34,F,active
1034,2023-05-08,2023-05-12,UK,Newcastle,organic,mobile,35-44,M,active
1035,2023-05-12,2023-05-15,USA,Columbus,email,tablet,25-34,F,active
1036,2023-05-15,2023-05-18,Canada,Victoria,paid_search,mobile,45-54,M,active
1037,2023-05-18,,USA,San Jose,referral,desktop,18-24,F,churned
1038,2023-05-22,2023-05-25,UK,Sheffield,social_media,mobile,25-34,M,active
1039,2023-05-25,2023-05-28,USA,Detroit,paid_social,tablet,35-44,F,active
1040,2023-06-01,2023-06-05,Canada,Regina,organic,mobile,25-34,M,churned
1041,2023-06-05,2023-06-08,USA,Memphis,email,desktop,45-54,F,active
1042,2023-06-08,,UK,Nottingham,paid_search,mobile,18-24,M,churned
1043,2023-06-12,2023-06-15,USA,Milwaukee,social_media,tablet,25-34,F,active
1044,2023-06-15,2023-06-18,Canada,Saskatoon,paid_social,mobile,35-44,M,active
1045,2023-06-18,2023-06-22,USA,Baltimore,referral,desktop,25-34,F,active
1046,2023-06-22,2023-06-25,UK,Southampton,organic,mobile,45-54,M,active
1047,2023-06-25,,USA,Louisville,email,tablet,18-24,F,churned
1048,2023-07-01,2023-07-05,Canada,Thunder Bay,paid_search,mobile,25-34,M,active
1049,2023-07-05,2023-07-08,USA,Las Vegas,social_media,desktop,35-44,F,active
1050,2023-07-08,2023-07-12,UK,Plymouth,paid_social,mobile,25-34,M,active
1051,2023-07-12,2023-07-15,USA,Kansas City,organic,tablet,45-54,F,churned
1052,2023-07-15,,Canada,London,email,mobile,18-24,M,churned
1053,2023-07-18,2023-07-22,USA,Sacramento,paid_search,desktop,25-34,F,active
1054,2023-07-22,2023-07-25,UK,Aberdeen,referral,mobile,35-44,M,active
1055,2023-07-25,2023-07-28,USA,Cleveland,social_media,tablet,25-34,F,active
1056,2023-08-01,2023-08-05,Canada,Kingston,paid_social,mobile,45-54,M,active
1057,2023-08-05,,USA,New Orleans,organic,desktop,18-24,F,churned
1058,2023-08-08,2023-08-12,UK,Cambridge,email,mobile,25-34,M,active
1059,2023-08-12,2023-08-15,USA,Pittsburgh,paid_search,tablet,35-44,F,active
1060,2023-08-15,2023-08-18,Canada,Guelph,social_media,mobile,25-34,M,churned
1061,2023-08-18,2023-08-22,USA,Cincinnati,referral,desktop,45-54,F,active
1062,2023-08-22,,UK,York,paid_social,mobile,18-24,M,churned
1063,2023-08-25,2023-08-28,USA,Minneapolis,organic,tablet,25-34,F,active
1064,2023-09-01,2023-09-05,Canada,Barrie,email,mobile,35-44,M,active
1065,2023-09-05,2023-09-08,USA,Tampa,paid_search,desktop,25-34,F,active
1066,2023-09-08,2023-09-12,UK,Oxford,social_media,mobile,45-54,M,active
1067,2023-09-12,,USA,St. Louis,paid_social,tablet,18-24,F,churned
1068,2023-09-15,2023-09-18,Canada,Windsor,referral,mobile,25-34,M,active
1069,2023-09-18,2023-09-22,USA,Raleigh,organic,desktop,35-44,F,active
1070,2023-09-22,2023-09-25,UK,Bath,email,mobile,25-34,M,churned
1071,2023-09-25,2023-09-28,USA,Miami,paid_search,tablet,45-54,F,active
1072,2023-10-01,,Canada,Oshawa,social_media,mobile,18-24,M,churned
1073,2023-10-05,2023-10-08,USA,Omaha,paid_social,desktop,25-34,F,active
1074,2023-10-08,2023-10-12,UK,Brighton,organic,mobile,35-44,M,active
1075,2023-10-12,2023-10-15,USA,Tucson,referral,tablet,25-34,F,active
1076,2023-10-15,2023-10-18,Canada,Sudbury,email,mobile,45-54,M,active
1077,2023-10-18,,USA,Fresno,paid_search,desktop,18-24,F,churned
1078,2023-10-22,2023-10-25,UK,Reading,social_media,mobile,25-34,M,active
1079,2023-10-25,2023-10-28,USA,Mesa,paid_social,tablet,35-44,F,active
1080,2023-11-01,2023-11-05,Canada,Sault Ste. Marie,organic,mobile,25-34,M,active
1081,2023-11-05,2023-11-08,USA,Virginia Beach,email,desktop,45-54,F,churned
1082,2023-11-08,,UK,Exeter,paid_search,mobile,18-24,M,churned
1083,2023-11-12,2023-11-15,USA,Oakland,referral,tablet,25-34,F,active
1084,2023-11-15,2023-11-18,Canada,Peterborough,social_media,mobile,35-44,M,active
1085,2023-11-18,2023-11-22,USA,Arlington,paid_social,desktop,25-34,F,active
1086,2023-11-22,2023-11-25,UK,Worcester,organic,mobile,45-54,M,active
1087,2023-11-25,,USA,Wichita,email,tablet,18-24,F,churned
1088,2023-12-01,2023-12-05,Canada,North Bay,paid_search,mobile,25-34,M,active
1089,2023-12-05,2023-12-08,USA,Bakersfield,social_media,desktop,35-44,F,active
1090,2023-12-08,2023-12-12,UK,Gloucester,paid_social,mobile,25-34,M,active
1091,2023-12-12,2023-12-15,USA,Aurora,referral,tablet,45-54,F,active
1092,2023-12-15,,Canada,Cornwall,organic,mobile,18-24,M,churned
1093,2023-12-18,2023-12-22,USA,Anaheim,email,desktop,25-34,F,active
1094,2023-12-22,2023-12-25,UK,Canterbury,paid_search,mobile,35-44,M,active
1095,2023-12-25,2023-12-28,USA,Santa Ana,social_media,tablet,25-34,F,active
1096,2024-01-01,2024-01-05,Canada,Chatham,paid_social,mobile,45-54,M,active
1097,2024-01-05,,USA,Riverside,referral,desktop,18-24,F,churned
1098,2024-01-08,2024-01-12,UK,Lincoln,organic,mobile,25-34,M,active
1099,2024-01-12,2024-01-15,USA,Corpus Christi,email,tablet,35-44,F,active
1100,2024-01-15,2024-01-18,Canada,Owen Sound,paid_search,mobile,25-34,M,active
1101,2024-01-18,2024-01-22,USA,Lexington,social_media,desktop,45-54,F,active
1102,2024-01-22,,UK,Coventry,paid_social,mobile,18-24,M,churned
1103,2024-01-25,2024-01-28,USA,Stockton,organic,tablet,25-34,F,active
1104,2024-02-01,2024-02-05,Canada,Belleville,email,mobile,35-44,M,active
1105,2024-02-05,2024-02-08,USA,Henderson,paid_search,desktop,25-34,F,active
1106,2024-02-08,2024-02-12,UK,Carlisle,referral,mobile,45-54,M,churned
1107,2024-02-12,,USA,Saint Paul,social_media,tablet,18-24,F,churned
1108,2024-02-15,2024-02-18,Canada,Sarnia,paid_social,mobile,25-34,M,active
1109,2024-02-18,2024-02-22,USA,St. Petersburg,organic,desktop,35-44,F,active
1110,2024-02-22,2024-02-25,UK,Durham,email,mobile,25-34,M,active
1111,2024-02-25,2024-02-28,USA,Plano,paid_search,tablet,45-54,F,active
1112,2024-03-01,,Canada,Brantford,social_media,mobile,18-24,M,churned
1113,2024-03-05,2024-03-08,USA,Newark,paid_social,desktop,25-34,F,active
1114,2024-03-08,2024-03-12,UK,Chester,referral,mobile,35-44,M,active
1115,2024-03-12,2024-03-15,USA,Lincoln,organic,tablet,25-34,F,active
1116,2024-03-15,2024-03-18,Canada,Lethbridge,email,mobile,45-54,M,active
1117,2024-03-18,,USA,Toledo,paid_search,desktop,18-24,F,churned
1118,2024-03-22,2024-03-25,UK,Salisbury,social_media,mobile,25-34,M,active
1119,2024-03-25,2024-03-28,USA,Greensboro,paid_social,tablet,35-44,F,active
1120,2024-04-01,2024-04-05,Canada,Medicine Hat,organic,mobile,25-34,M,active
1121,2024-04-05,2024-04-08,USA,Chandler,email,desktop,45-54,F,active
1122,2024-04-08,,UK,Winchester,paid_search,mobile,18-24,M,churned
1123,2024-04-12,2024-04-15,USA,Irvine,referral,tablet,25-34,F,active
1124,2024-04-15,2024-04-18,Canada,Grande Prairie,social_media,mobile,35-44,M,active
1125,2024-04-18,2024-04-22,USA,Chula Vista,paid_social,desktop,25-34,F,active
1126,2024-04-22,2024-04-25,UK,Truro,organic,mobile,45-54,M,churned
1127,2024-04-25,,USA,Fort Wayne,email,tablet,18-24,F,churned
1128,2024-05-01,2024-05-05,Canada,Red Deer,paid_search,mobile,25-34,M,active
1129,2024-05-05,2024-05-08,USA,Jersey City,social_media,desktop,35-44,F,active
1130,2024-05-08,2024-05-12,UK,Chichester,paid_social,mobile,25-34,M,active
1131,2024-05-12,2024-05-15,USA,Durham,referral,tablet,45-54,F,active
1132,2024-05-15,,Canada,Lloydminster,organic,mobile,18-24,M,churned
1133,2024-05-18,2024-05-22,USA,Laredo,email,desktop,25-34,F,active
1134,2024-05-22,2024-05-25,UK,Ripon,paid_search,mobile,35-44,M,active
1135,2024-05-25,2024-05-28,USA,Madison,social_media,tablet,25-34,F,active
1136,2024-06-01,2024-06-05,Canada,Prince George,paid_social,mobile,45-54,M,active
1137,2024-06-05,,USA,Lubbock,referral,desktop,18-24,F,churned
1138,2024-06-08,2024-06-12,UK,Ely,organic,mobile,25-34,M,active
1139,2024-06-12,2024-06-15,USA,Scottsdale,email,tablet,35-44,F,active
1140,2024-06-15,2024-06-18,Canada,Kamloops,paid_search,mobile,25-34,M,active
1141,2024-06-18,2024-06-22,USA,Reno,social_media,desktop,45-54,F,active
1142,2024-06-22,,UK,Wells,paid_social,mobile,18-24,M,churned
1143,2024-06-25,2024-06-28,USA,Garland,organic,tablet,25-34,F,active
1144,2024-07-01,2024-07-05,Canada,Nanaimo,email,mobile,35-44,M,active
1145,2024-07-05,2024-07-08,USA,Irving,paid_search,desktop,25-34,F,active
1146,2024-07-08,2024-07-12,UK,Lichfield,referral,mobile,45-54,M,active
1147,2024-07-12,,USA,Chesapeake,social_media,tablet,18-24,F,churned
1148,2024-07-15,2024-07-18,Canada,Vernon,paid_social,mobile,25-34,M,active
1149,2024-07-18,2024-07-22,USA,Gilbert,organic,desktop,35-44,F,active
1150,2024-07-22,2024-07-25,UK,Hereford,email,mobile,25-34,M,active
1151,2024-07-25,2024-07-28,USA,Glendale,paid_search,tablet,45-54,F,active
1152,2024-08-01,,Canada,Penticton,social_media,mobile,18-24,M,churned
1153,2024-08-05,2024-08-08,USA,Hialeah,paid_social,desktop,25-34,F,active
1154,2024-08-08,2024-08-12,UK,Wakefield,referral,mobile,35-44,M,active
1155,2024-08-12,2024-08-15,USA,Norfolk,organic,tablet,25-34,F,active
1156,2024-08-15,2024-08-18,Canada,Campbell River,email,mobile,45-54,M,active
1157,2024-08-18,,USA,Boise,paid_search,desktop,18-24,F,churned
1158,2024-08-22,2024-08-25,UK,Sunderland,social_media,mobile,25-34,M,active
1159,2024-08-25,2024-08-28,USA,Winston-Salem,paid_social,tablet,35-44,F,active
1160,2024-09-01,2024-09-05,Canada,Courtenay,organic,mobile,25-34,M,active
1161,2024-09-05,2024-09-08,USA,Baton Rouge,email,desktop,45-54,F,active
1162,2024-09-08,,UK,Bradford,paid_search,mobile,18-24,M,churned
1163,2024-09-12,2024-09-15,USA,Spokane,referral,tablet,25-34,F,active
1164,2024-09-15,2024-09-18,Canada,Powell River,social_media,mobile,35-44,M,active
1165,2024-09-18,2024-09-22,USA,Des Moines,paid_social,desktop,25-34,F,active
1166,2024-09-22,2024-09-25,UK,Derby,organic,mobile,45-54,M,active
1167,2024-09-25,,USA,Tacoma,email,tablet,18-24,F,churned
1168,2024-10-01,2024-10-05,Canada,Fort McMurray,paid_search,mobile,25-34,M,active
1169,2024-10-05,2024-10-08,USA,Fremont,social_media,desktop,35-44,F,active
1170,2024-10-08,2024-10-12,UK,Wolverhampton,paid_social,mobile,25-34,M,active
1171,2024-10-12,2024-10-15,USA,Richmond,referral,tablet,45-54,F,active
1172,2024-10-15,,Canada,Cold Lake,organic,mobile,18-24,M,churned
1173,2024-10-18,2024-10-22,USA,Fontana,email,desktop,25-34,F,active
1174,2024-10-22,2024-10-25,UK,Stoke-on-Trent,paid_search,mobile,35-44,M,active
1175,2024-10-25,2024-10-28,USA,San Bernardino,social_media,tablet,25-34,F,active
1176,2024-11-01,2024-11-05,Canada,Brooks,paid_social,mobile,45-54,M,active
1177,2024-11-05,,USA,Modesto,referral,desktop,18-24,F,churned
1178,2024-11-08,2024-11-12,UK,Bolton,organic,mobile,25-34,M,active
1179,2024-11-12,2024-11-15,USA,Birmingham,email,tablet,35-44,F,active
1180,2024-11-15,2024-11-18,Canada,Banff,paid_search,mobile,25-34,M,active
1181,2024-11-18,2024-11-22,USA,Rochester,social_media,desktop,45-54,F,active
1182,2024-11-22,,UK,Rochdale,paid_social,mobile,18-24,M,churned
1183,2024-11-25,2024-11-28,USA,Oxnard,organic,tablet,25-34,F,active
1184,2024-12-01,2024-12-05,Canada,Canmore,email,mobile,35-44,M,active
1185,2024-12-05,2024-12-08,USA,Fayetteville,paid_search,desktop,25-34,F,active
1186,2024-12-08,2024-12-12,UK,Salford,referral,mobile,45-54,M,active
1187,2024-12-12,,USA,Port St. Lucie,social_media,tablet,18-24,F,churned
1188,2024-12-15,2024-12-18,Canada,Jasper,paid_social,mobile,25-34,M,active
1189,2024-12-18,2024-12-22,USA,Moreno Valley,organic,desktop,35-44,F,active
1190,2024-12-22,2024-12-25,UK,Oldham,email,mobile,25-34,M,active
1191,2024-12-25,2024-12-28,USA,Yonkers,paid_search,tablet,45-54,F,active
1192,2024-01-02,,Canada,Whitehorse,social_media,mobile,18-24,M,churned
1193,2024-01-06,2024-01-10,USA,Huntington Beach,paid_social,desktop,25-34,F,active
1194,2024-01-10,2024-01-14,UK,Warrington,referral,mobile,35-44,M,active
1195,2024-01-14,2024-01-18,USA,Glendale,organic,tablet,25-34,F,active
1196,2024-01-18,2024-01-22,Canada,Yellowknife,email,mobile,45-54,M,active
1197,2024-01-22,,USA,Shreveport,paid_search,desktop,18-24,F,churned
1198,2024-01-26,2024-01-30,UK,Wigan,social_media,mobile,25-34,M,active
1199,2024-01-30,2024-02-03,USA,Montgomery,paid_social,tablet,35-44,F,active
1200,2024-02-03,2024-02-07,Canada,Iqaluit,organic,mobile,25-34,M,active
